[2023-06-12T00:07:20] T = 25000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -1.7 | Avg. Q: -0.956981213208288 | Avg. Overlap: 0.1095933245498463
[2023-06-12T00:08:35] T = 50000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.9 | Avg. Q: -1.0151994659062475 | Avg. Overlap: 0.07684057971014492
[2023-06-12T00:09:51] T = 75000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.6 | Avg. Q: -1.1105310984198005 | Avg. Overlap: 0.053134575569358175
[2023-06-12T00:11:05] T = 100000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -1.2 | Avg. Q: -1.1994074219428004 | Avg. Overlap: 0.08
[2023-06-12T00:12:20] T = 125000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -1.2 | Avg. Q: -1.207997990725562 | Avg. Overlap: 0.07233566433566434
[2023-06-12T00:13:35] T = 150000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.5 | Avg. Q: -1.246690206449479 | Avg. Overlap: 0.04351119894598155
[2023-06-12T00:14:49] T = 175000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.7 | Avg. Q: -1.2634304342232645 | Avg. Overlap: 0.06252117447769621
[2023-06-12T00:16:04] T = 200000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.5 | Avg. Q: -1.214248937467113 | Avg. Overlap: 0.042420289855072464
[2023-06-12T00:17:19] T = 225000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -1.6 | Avg. Q: -1.1960637129470706 | Avg. Overlap: 0.10621516164994427
[2023-06-12T00:18:34] T = 250000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.6 | Avg. Q: -1.2662795722410083 | Avg. Overlap: 0.042753623188405795
[2023-06-12T00:19:49] T = 275000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.6 | Avg. Q: -1.210249587278813 | Avg. Overlap: 0.050057971014492754
[2023-06-12T00:21:04] T = 300000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.4 | Avg. Q: -1.1961926392391324 | Avg. Overlap: 0.03333333333333333
[2023-06-12T00:22:19] T = 325000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -1.4 | Avg. Q: -1.185799946270883 | Avg. Overlap: 0.08205797101449275
[2023-06-12T00:23:33] T = 350000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.9 | Avg. Q: -1.1727470874711872 | Avg. Overlap: 0.06608695652173913
[2023-06-12T00:24:48] T = 375000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.9 | Avg. Q: -1.2445359830632805 | Avg. Overlap: 0.06061722488038278
[2023-06-12T00:26:03] T = 400000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -1.0 | Avg. Q: -1.1838946774564683 | Avg. Overlap: 0.06808695652173914
[2023-06-12T00:27:17] T = 425000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.8 | Avg. Q: -1.233572392694652 | Avg. Overlap: 0.05842028985507247
[2023-06-12T00:28:32] T = 450000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -0.7 | Avg. Q: -1.2056716056931764 | Avg. Overlap: 0.06139130434782608
[2023-06-12T00:29:47] T = 475000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -50.1 | Avg. Q: -1.1973092378564179 | Avg. Overlap: 0.2827103641456583
[2023-06-12T00:31:02] T = 500000 / 500000 | env: env1_Full_Info_Non_Rand_Size5_Rand_Starting_Pose_Obstacle | Avg. reward: -1.1 | Avg. Q: -1.2160197674967348 | Avg. Overlap: 0.0856600790513834
[2023-06-12T00:32:19] T = 25000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.1 | Avg. Q: -5.930311681605875 | Avg. Overlap: 0.04169940981485973
[2023-06-12T00:33:38] T = 50000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.2 | Avg. Q: -6.042088793694973 | Avg. Overlap: 0.02489569432238605
[2023-06-12T00:34:58] T = 75000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -2.2 | Avg. Q: -6.320708132833243 | Avg. Overlap: 0.04359584634805548
[2023-06-12T00:36:18] T = 100000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.9 | Avg. Q: -6.314956425022334 | Avg. Overlap: 0.01835218368249617
[2023-06-12T00:37:38] T = 125000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.8 | Avg. Q: -6.396383247703314 | Avg. Overlap: 0.016327380686732677
[2023-06-12T00:38:58] T = 150000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -0.9 | Avg. Q: -6.60739467773214 | Avg. Overlap: 0.018587936464076284
[2023-06-12T00:40:17] T = 175000 / 1500000 | env: env2_Full_Info_Non_Rand_Size10_Rand_Starting_Pose_Obstacle | Avg. reward: -1.6 | Avg. Q: -6.69579704464972 | Avg. Overlap: 0.03289193439259326
